hop_name,location,code,ptr_lat,ptr_lon,ptr_city
ae4.cr1.dfw1.us.zip.zayo.com,dfw|us,US-TX,32.896801,-97.038002,Dallas-Fort Worth
zayo-verizon.er2.ord7.us.zip.zayo.com,ord|us,US-IL,41.9786,-87.9048,Chicago
be5718.rcr71.mem01.atlas.cogentco.com,mem,US-TN,35.0424,-89.9767,Memphis
ix-be-55.ecore2.dt8-dallas.as6453.net,dallas,US-TX,32.78306,-96.80667,Dallas
zayo.gtt.ter1.dfw2.us.zip.zayo.com,dfw|us,US-TX,32.896801,-97.038002,Dallas-Fort Worth
zayo.ntt.ter1.dfw2.us.zip.zayo.com,dfw|us,US-TX,32.896801,-97.038002,Dallas-Fort Worth
zayo-att.ter1.dfw2.us.zip.zayo.com,dfw|us,US-TX,32.896801,-97.038002,Dallas-Fort Worth
zayo-he.ter1.sea1.us.zip.zayo.com,sea|us,US-WA,47.449001,-122.308998,Seattle
port-channel4949.ccr92.jan02.atlas.cogentco.com,jan,US-MS,32.311199,-90.075897,Jackson
tisparkle.dfw03.atlas.cogentco.com,dfw,US-TX,32.896801,-97.038002,Dallas-Fort Worth
ae0.cs3.ord2.us.eth.zayo.com,ord|us,US-IL,41.9786,-87.9048,Chicago
gi0-0-0-18.213.nr11.b019048-0.ord01.atlas.cogentco.com,ord,US-IL,41.9786,-87.9048,Chicago
swissix-xe-0-1-2-0-r60.equ.zrh.ch.nextlayer.net,zrh|ch,CH-ZH,47.464699,8.54917,Zurich
ae0.cs2.dfw2.us.eth.zayo.com,dfw|us,US-TX,32.896801,-97.038002,Dallas-Fort Worth
ae18.cs4.ord2.us.zip.zayo.com,ord|us,US-IL,41.9786,-87.9048,Chicago
be4814.agr64.den01.atlas.cogentco.com,den,US-CO,39.861698,-104.672997,Denver
be8558.nr61.b006467-1.den01.atlas.cogentco.com,den,US-CO,39.861698,-104.672997,Denver
et-3-12-1-ss03b-d.northlake.il.ndcchgo.comcast.net,northlake|il,US-IL,41.91725,-87.89562,Northlake
port-channel1.core3.nyc4.he.net,nyc,US-NY,40.639801,-73.7789,New York
be2643.ccr21.mfe02.atlas.cogentco.com,mfe,US-TX,26.1758,-98.238602,Mc Allen
